first,second,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20
12,delay,[1.67809e-07],[1.1212e-07],[2.03873e-07],[3.06615e-07],[5.15979e-07],[6.94302e-08],[7.71398e-08],[1.69741e-07],[2.70934e-07],[3.73804e-07],[6.94302e-08],[7.71398e-08],[1.69741e-07],[2.70934e-07],[3.73804e-07],[1.67809e-07],[1.1212e-07],[2.03873e-07],[3.06615e-07],[5.15979e-07]
12,bias,[18.27636251],[0.02331638],[4.73052575],[7.17699738],[40.10608079],[0.0144017],[0.01592651],[0.03517],[0.05635806],[0.07760199],[0.0144017],[0.01592651],[0.03517],[0.05635806],[0.07760199],[18.27636251],[0.02331638],[4.73052575],[7.17699738],[40.10608079]
12,b_est,[8.11198],[13.07146],[0.26530975],[3.6640449],[8.052462],[45.00934],[39.66679],[0.22915407],[-0.70398],[54.389256],[0.26892227],[6.7087245],[10.950298],[54.389256],[0.22677751],[8.072259],[-0.80375916],[0.23919435],[46.435154],[54.389256]
12,label,LOS,NLOS,LOS,LOS,LOS,NLOS,NLOS,NLOS,NLOS,NLOS,NLOS,NLOS,NLOS,NLOS,NLOS,LOS,NLOS,LOS,LOS,LOS
13,pos,[[ 95. 142.   3.]],[[ 95. 142.   3.]],[[ 95. 142.   3.]],[[ 95. 142.   3.]],[[ 95. 142.   3.]],[[ 95. 142.   3.]],[[ 95. 142.   3.]],[[ 95. 142.   3.]],[[ 95. 142.   3.]],[[ 95. 142.   3.]],[[ 95. 142.   3.]],[[ 95. 142.   3.]],[[ 95. 142.   3.]],[[ 95. 142.   3.]],[[ 95. 142.   3.]],[[ 95. 142.   3.]],[[ 95. 142.   3.]],[[ 95. 142.   3.]],[[ 95. 142.   3.]],[[ 95. 142.   3.]]
13,distance,67.47777411859404,41.440469350623914,28.88771365130858,43.64415768462029,70.20149571056162,62.9146246909254,33.500932822833455,15.47578754054216,36.19133183512317,65.82742589529079,62.9146246909254,33.500932822833455,15.47578754054216,36.19133183512317,65.82742589529079,67.47777411859404,41.440469350623914,28.88771365130858,43.64415768462029,70.20149571056162
13,received_energy,-74.78236550211864,-69.58612312035852,-64.83717335048048,-71.99091484795763,-75.39379454556433,-71.3397291338639,-67.0045031839238,-61.58795674243908,-66.70470266881212,-71.84305256895519,-70.177242642936,-65.98392537984108,-61.58795674243908,-66.58758656913017,-70.52275394345186,-76.83183655655849,-71.01505905329165,-64.83717335048048,-71.99091484795763,-77.30731094079721
13,Max_amplitude,2.5036292031980454e-09,1.2889023296750833e-08,8.697010785732955e-08,8.73393606981403e-09,2.621319804434185e-09,1.5692423084978575e-08,6.277981168795931e-08,3.433207152815607e-07,5.296756505601923e-08,1.420528687404994e-08,1.5692423084978575e-08,6.277981168795931e-08,3.433207152815607e-07,5.296756505601923e-08,1.420528687404994e-08,2.3110535496288044e-09,9.376483822777887e-09,8.697010785732955e-08,8.73393606981403e-09,2.463655667769836e-09
13,mean_excess_delay,4.73426e-07,2.2272300000000003e-07,9.635899999999998e-08,2.61051e-07,4.6359100000000006e-07,2.0986e-07,1.11747e-07,5.162160000000001e-08,1.2072099999999996e-07,2.19576e-07,2.0986000000000005e-07,1.1174699999999996e-07,5.162160000000001e-08,1.2072099999999996e-07,2.1957600000000003e-07,3.6651399999999997e-07,2.51776e-07,9.635899999999998e-08,2.61051e-07,3.57525e-07
13,delay_spread,5.293955920339377e-23,2.6469779601696886e-23,1.3234889800848443e-23,5.293955920339377e-23,1.0587911840678754e-22,2.6469779601696886e-23,1.3234889800848443e-23,1.3234889800848443e-23,2.6469779601696886e-23,2.6469779601696886e-23,7.940933880509067e-23,2.6469779601696886e-23,1.3234889800848443e-23,2.6469779601696886e-23,5.293955920339377e-23,0.0,0.0,1.3234889800848443e-23,5.293955920339377e-23,5.293955920339377e-23
13,kurtosis,22.0,15.0,4.999999999999999,13.0,22.0,15.000000000000002,7.000000000000001,0.0,7.0,14.999999999999998,21.0,9.999999999999998,0.0,12.999999999999996,18.0,18.0,12.999999999999996,4.999999999999999,13.0,21.000000000000004
13,delay,[4.73426e-07],[2.22723e-07],[9.6359e-08],[2.61051e-07],[4.63591e-07],[2.0986e-07],[1.11747e-07],[5.16216e-08],[1.20721e-07],[2.19576e-07],[2.0986e-07],[1.11747e-07],[5.16216e-08],[1.20721e-07],[2.19576e-07],[3.66514e-07],[2.51776e-07],[9.6359e-08],[2.61051e-07],[3.57525e-07]
13,bias,[74.55002588],[25.37643065],[0.01998635],[34.67114232],[68.87580429],[0.04337531],[0.02316718],[0.01069246],[0.02496816],[0.0453741],[0.04337531],[0.02316718],[0.01069246],[0.02496816],[0.0453741],[42.47642588],[34.09233065],[0.01998635],[34.67114232],[37.05600429]
13,b_est,[15.199122],[41.692585],[0.19415231],[8.791964],[0.3096041],[54.389256],[35.52082],[-0.04887061],[0.28533882],[1.9775577],[3.0757594],[0.24746843],[-0.03022437],[53.56195],[54.389256],[0.33394188],[11.613559],[0.18111749],[27.663774],[17.536905]
13,label,LOS,LOS,NLOS,LOS,LOS,NLOS,NLOS,NLOS,NLOS,NLOS,NLOS,NLOS,NLOS,NLOS,NLOS,LOS,LOS,NLOS,LOS,LOS
14,pos,[[ 95. 189.   3.]],[[ 95. 189.   3.]],[[ 95. 189.   3.]],[[ 95. 189.   3.]],[[ 95. 189.   3.]],[[ 95. 189.   3.]],[[ 95. 189.   3.]],[[ 95. 189.   3.]],[[ 95. 189.   3.]],[[ 95. 189.   3.]],[[ 95. 189.   3.]],[[ 95. 189.   3.]],[[ 95. 189.   3.]],[[ 95. 189.   3.]],[[ 95. 189.   3.]],[[ 95. 189.   3.]],[[ 95. 189.   3.]],[[ 95. 189.   3.]],[[ 95. 189.   3.]],[[ 95. 189.   3.]]
14,distance,111.6288493177279,81.77751830423811,53.54670858232091,31.62376479801227,32.95451410656816,108.93117092916977,78.05486852208516,47.668123520860355,20.126164562578733,22.15851980616034,108.93117092916977,78.05486852208516,47.668123520860355,20.126164562578733,22.15851980616034,111.6288493177279,81.77751830423811,53.54670858232091,31.62376479801227,32.95451410656816
14,received_energy,-75.12640662670749,-72.65711128247706,-70.92755595215229,-66.00191400283629,-67.13485643346972,-75.08061655292063,-73.77767678540337,-70.08806255022519,-85.09664296979308,-63.11215210093571,-73.74127543495321,-71.46969690258567,-69.8889091742823,-64.07056257767204,-63.11215210093571,-75.5728419511223,-73.94340611355621,-71.71961759844446,-66.00191400283629,-67.13485643346972
14,Max_amplitude,2.2452774191945565e-09,4.062655608015541e-09,1.0600589294226446e-08,7.127053332352474e-08,2.724645524221884e-08,4.690401376955159e-09,9.76472481418565e-09,2.889615170390569e-08,9.13566169376633e-10,1.558655041707971e-07,4.690401376955159e-09,9.76472481418565e-09,2.889615170390569e-08,1.9260608722204134e-07,1.558655041707971e-07,2.2452774191945565e-09,4.062655608015541e-09,1.0600589294226446e-08,7.127053332352474e-08,2.724645524221884e-08
14,mean_excess_delay,5.056199999999997e-07,2.9604299999999987e-07,1.9308200000000003e-07,1.0548500000000002e-07,1.6812999999999996e-07,3.633549999999998e-07,2.6036199999999983e-07,1.5900400000000004e-07,4.6567799999999997e-07,7.391259999999999e-08,3.6335499999999996e-07,2.6036200000000004e-07,1.59004e-07,6.71335e-08,7.391259999999999e-08,5.056199999999998e-07,2.960430000000001e-07,1.9308199999999998e-07,1.0548500000000002e-07,1.6812999999999996e-07
14,delay_spread,2.117582368135751e-22,1.0587911840678754e-22,2.6469779601696886e-23,2.6469779601696886e-23,2.6469779601696886e-23,1.588186776101813e-22,1.588186776101813e-22,2.6469779601696886e-23,0.0,0.0,0.0,5.293955920339377e-23,0.0,0.0,0.0,1.0587911840678754e-22,1.0587911840678754e-22,2.6469779601696886e-23,2.6469779601696886e-23,2.6469779601696886e-23
14,kurtosis,34.00000000000001,27.0,16.0,9.0,15.0,19.0,13.0,6.0,4.0,12.000000000000002,25.000000000000004,19.000000000000004,9.0,9.0,12.000000000000002,30.000000000000004,22.0,15.000000000000002,9.0,15.0
14,delay,[5.0562e-07],[2.96043e-07],[1.93082e-07],[1.05485e-07],[1.6813e-07],[3.63355e-07],[2.60362e-07],[1.59004e-07],[4.65678e-07],[7.39126e-08],[3.63355e-07],[2.60362e-07],[1.59004e-07],[6.71335e-08],[7.39126e-08],[5.0562e-07],[2.96043e-07],[1.93082e-07],[1.05485e-07],[1.6813e-07]
14,bias,[40.05715068],[7.0353817],[4.37789142],[0.0217352],[17.48448589],[0.07532907],[0.05373148],[0.03307648],[119.57723544],[0.01526019],[0.07532907],[0.05373148],[0.03307648],[0.01388544],[0.01526019],[40.05715068],[7.0353817],[4.37789142],[0.0217352],[17.48448589]
14,b_est,[54.389256],[54.389256],[0.31608146],[-0.65955025],[8.103784],[0.275989],[54.389256],[9.42286],[8.831737],[0.25650543],[8.783544],[0.23566766],[0.2635283],[11.764323],[54.389256],[53.453415],[5.8311706],[0.34365028],[17.91241],[6.8100896]
14,label,LOS,LOS,LOS,NLOS,LOS,NLOS,NLOS,NLOS,LOS,NLOS,NLOS,NLOS,NLOS,NLOS,NLOS,LOS,LOS,LOS,NLOS,LOS
15,pos,[[142.    1.    1.5]],[[142.    1.    1.5]],[[142.    1.    1.5]],[[142.    1.    1.5]],[[142.    1.    1.5]],[[142.    1.    1.5]],[[142.    1.    1.5]],[[142.    1.    1.5]],[[142.    1.    1.5]],[[142.    1.    1.5]],[[142.    1.    1.5]],[[142.    1.    1.5]],[[142.    1.    1.5]],[[142.    1.    1.5]],[[142.    1.    1.5]],[[142.    1.    1.5]],[[142.    1.    1.5]],[[142.    1.    1.5]],[[142.    1.    1.5]],[[142.    1.    1.5]]
15,distance,157.5499920660106,126.9293602757061,96.71220191888922,67.44303151549461,41.19465984809196,155.6502489557919,124.56348782849652,93.58552238460818,62.87736079066932,33.19638534539566,155.6502489557919,124.56348782849652,93.58552238460818,62.87736079066932,33.19638534539566,157.5499920660106,126.9293602757061,96.71220191888922,67.44303151549461,41.19465984809196
